"","Name","Team","Number","Position","Age","Height","Weight","College","Salary"
"285","James Ennis","New Orleans Pelicans",4,"SF",25,"06-Jul",210,"Long Beach State",845059
"286","Tyreke Evans","New Orleans Pelicans",1,"SG",26,"06-Jun",220,"Memphis",10734586
"287","Tim Frazier","New Orleans Pelicans",2,"PG",25,"06-Jan",170,"Penn State",845059
"288","Alonzo Gee","New Orleans Pelicans",15,"SF",29,"06-Jun",225,"Alabama",1320000
"289","Eric Gordon","New Orleans Pelicans",10,"SG",27,"06-Apr",215,"Indiana",15514031
"290","Jordan Hamilton","New Orleans Pelicans",25,"SG",25,"06-Jul",220,"Texas",1015421
"291","Jrue Holiday","New Orleans Pelicans",11,"PG",25,"06-Apr",205,"UCLA",10595507
"292","Orlando Johnson","New Orleans Pelicans",0,"SG",27,"06-May",220,"UC Santa Barbara",55722
"293","Kendrick Perkins","New Orleans Pelicans",5,"C",24,"06-Oct",270,"Indiana",947276
"294","Quincy Pondexter","New Orleans Pelicans",20,"SF",28,"06-Jul",220,"Washington",3382023
"295","LaMarcus Aldridge","San Antonio Spurs",12,"PF",30,"06-Nov",240,"Texas",19689000
"296","Kyle Anderson","San Antonio Spurs",1,"SF",24,"06-Sep",230,"UCLA",1142880
"297","Matt Bonner","San Antonio Spurs",15,"C",36,"06-Oct",221.270783847981,"Florida",947276
"298","Boris Diaw","San Antonio Spurs",33,"C",34,"06-Aug",250,"Western Carolina",7500000
"299","Tim Duncan","San Antonio Spurs",21,"C",40,"06-Nov",250,"Wake Forest",5250000
"300","Manu Ginobili","San Antonio Spurs",20,"SG",38,"06-Jun",205,"Wake Forest",2814000
"301","Danny Green","San Antonio Spurs",14,"SG",28,"06-Jun",215,"North Carolina",1e+07
"302","Kawhi Leonard","San Antonio Spurs",2,"SF",24,"06-Jul",230,"San Diego State",16407500
"303","Boban Marjanovic","San Antonio Spurs",40,"C",27,"07-Mar",290,"Clemson",1200000
"304","Kevin Martin","San Antonio Spurs",23,"SG",33,"06-Jul",199,"Western Carolina",200600
"305","Andre Miller","San Antonio Spurs",24,"PG",40,"06-Mar",200,"Utah",250750
"306","Patty Mills","San Antonio Spurs",8,"PG",27,"6-0",185,"Saint Mary's",3578947
"307","Tony Parker","San Antonio Spurs",9,"PG",24,"06-Feb",185,"Wake Forest",4805869.95305164
"308","Jonathon Simmons","San Antonio Spurs",17,"SG",26,"06-Jun",195,"Houston",525093
"309","David West","San Antonio Spurs",30,"PF",35,"06-Sep",221.270783847981,"Xavier",1499187
"310","Kent Bazemore","Atlanta Hawks",24,"SF",26,"06-May",201,"Old Dominion",2e+06
"311","Tim Hardaway Jr.","Atlanta Hawks",10,"SG",24,"06-Jun",205,"Michigan",1304520
"312","Kirk Hinrich","Atlanta Hawks",12,"SG",35,"06-Apr",190,"Kansas",2854940
"313","Al Horford","Atlanta Hawks",15,"C",30,"06-Oct",245,"Florida",1.2e+07
"314","Kris Humphries","Atlanta Hawks",43,"PF",31,"06-Sep",235,"Minnesota",1e+06
"315","Kyle Korver","Atlanta Hawks",26,"SG",35,"06-Jul",212,"Creighton",5746479
"316","Paul Millsap","Atlanta Hawks",4,"PF",31,"06-Aug",246,"Louisiana Tech",18671659
"317","Mike Muscala","Atlanta Hawks",31,"PF",24,"06-Nov",240,"Bucknell",947276
"318","Lamar Patterson","Atlanta Hawks",13,"SG",24,"06-May",225,"Pittsburgh",525093
"319","Dennis Schroder","Atlanta Hawks",17,"PG",24,"06-Jan",172,"California",1763400
"320","Mike Scott","Atlanta Hawks",32,"PF",27,"06-Aug",237,"Virginia",3333333
"321","Thabo Sefolosha","Atlanta Hawks",25,"SF",32,"06-Jul",220,"Louisiana Tech",4e+06
"322","Tiago Splitter","Atlanta Hawks",11,"C",31,"06-Nov",221.270783847981,"Bucknell",9756250
"323","Walter Tavares","Atlanta Hawks",22,"C",24,"07-Mar",260,"Kentucky",1e+06
"324","Jeff Teague","Atlanta Hawks",0,"PG",27,"06-Feb",186,"Wake Forest",8e+06
"325","Nicolas Batum","Charlotte Hornets",5,"SG",27,"06-Aug",200,"California",13125306
"326","Troy Daniels","Charlotte Hornets",30,"SG",24,"06-Apr",205,"Virginia Commonwealth",947276
"327","Jorge Gutierrez","Charlotte Hornets",12,"PG",27,"06-Mar",189,"California",189455
"328","Tyler Hansbrough","Charlotte Hornets",50,"PF",24,"06-Sep",250,"North Carolina",947276
"329","Aaron Harrison","Charlotte Hornets",9,"SG",21,"06-Jun",210,"Kentucky",525093
"330","Spencer Hawes","Charlotte Hornets",0,"PF",28,"07-Jan",245,"Washington",6110034
"331","Al Jefferson","Charlotte Hornets",25,"C",31,"06-Oct",289,"Kentucky",13500000
"332","Frank Kaminsky III","Charlotte Hornets",44,"C",23,"7-0",240,"Wisconsin",2612520
"333","Michael Kidd-Gilchrist","Charlotte Hornets",14,"SF",22,"06-Jul",221.270783847981,"Kentucky",6331404
"334","Jeremy Lamb","Charlotte Hornets",3,"SG",24,"06-May",185,"Connecticut",3034356
"335","Courtney Lee","Charlotte Hornets",1,"SG",24,"06-May",200,"Western Kentucky",5675000
"336","Jeremy Lin","Charlotte Hornets",7,"PG",27,"06-Mar",200,"Harvard",2139000
"337","Kemba Walker","Charlotte Hornets",15,"PG",26,"06-Jan",184,"Connecticut",1.2e+07
"338","Marvin Williams","Charlotte Hornets",2,"PF",29,"06-Sep",237,"North Carolina",7e+06
"339","Cody Zeller","Charlotte Hornets",40,"C",24,"7-0",221.270783847981,"Indiana",4204200
"340","Chris Bosh","Miami Heat",1,"PF",32,"06-Nov",235,"Georgia Tech",22192730
"341","Luol Deng","Miami Heat",9,"SF",31,"06-Sep",220,"Duke",10151612
"342","Goran Dragic","Miami Heat",7,"PG",30,"06-Mar",190,"Connecticut",14783000
"343","Gerald Green","Miami Heat",14,"SF",30,"06-Jul",205,"Wisconsin",947276
"344","Udonis Haslem","Miami Heat",40,"PF",36,"06-Aug",235,"Florida",2854940
"345","Joe Johnson","Miami Heat",2,"SF",34,"06-Jul",240,"Arkansas",261894
"346","Tyler Johnson","Miami Heat",8,"SG",24,"06-Apr",186,"Fresno State",845059
"347","Josh McRoberts","Miami Heat",4,"PF",29,"06-Oct",240,"Duke",5543725
"348","Josh Richardson","Miami Heat",0,"SG",22,"06-Jun",200,"Tennessee",525093
"349","Amar'e Stoudemire","Miami Heat",5,"PF",33,"06-Oct",245,"Kentucky",947276
"350","Dwyane Wade","Miami Heat",3,"SG",34,"06-Apr",220,"Marquette",2e+07
"351","Briante Weber","Miami Heat",12,"PG",23,"06-Feb",221.270783847981,"Virginia Commonwealth",4805869.95305164
"352","Hassan Whiteside","Miami Heat",21,"C",26,"7-0",265,"Marshall",981348
"353","Justise Winslow","Miami Heat",20,"SF",20,"06-Jul",225,"Duke",2481720
"354","Dorell Wright","Miami Heat",11,"SF",24,"06-Sep",205,"Iowa",4805869.95305164
"355","Dewayne Dedmon","Orlando Magic",3,"C",26,"7-0",245,"USC",947276
"356","Evan Fournier","Orlando Magic",10,"SG",23,"06-Jul",205,"Kentucky",2288205
"357","Aaron Gordon","Orlando Magic",0,"PF",20,"06-Sep",220,"Arizona",4171680
"358","Mario Hezonja","Orlando Magic",23,"SG",21,"06-Aug",218,"Marshall",3741480
"359","Ersan Ilyasova","Orlando Magic",7,"PF",29,"06-Oct",235,"Virginia Commonwealth",7900000
"360","Brandon Jennings","Orlando Magic",55,"PG",26,"06-Jan",169,"USC",8344497
"361","Devyn Marble","Orlando Magic",11,"SF",24,"06-Jun",200,"Iowa",845059
"362","Shabazz Napier","Orlando Magic",13,"PG",24,"06-Jan",175,"Connecticut",1294440
"363","Andrew Nicholson","Orlando Magic",44,"PF",26,"06-Sep",250,"St. Bonaventure",2380593
"364","Victor Oladipo","Orlando Magic",5,"SG",24,"06-Apr",210,"Indiana",5192520
"365","Elfrid Payton","Orlando Magic",4,"PG",22,"06-Apr",185,"Louisiana-Lafayette",4805869.95305164
"366","Jason Smith","Orlando Magic",14,"PF",30,"7-0",221.270783847981,"Colorado State",4300000
"367","Nikola Vucevic","Orlando Magic",9,"C",25,"7-0",260,"USC",11250000
"368","C.J. Watson","Orlando Magic",32,"PG",32,"06-Feb",175,"Tennessee",5e+06
"369","Alan Anderson","Washington Wizards",6,"SG",33,"06-Jun",220,"Michigan State",4e+06
"370","Bradley Beal","Washington Wizards",3,"SG",22,"06-May",207,"Florida",5694674
"371","Jared Dudley","Washington Wizards",1,"SF",30,"06-Jul",225,"Boston College",4375000
"372","Jarell Eddie","Washington Wizards",8,"SG",24,"06-Jul",218,"Virginia Tech",561716
"373","Drew Gooden","Washington Wizards",90,"PF",34,"06-Oct",250,"Kansas",3300000
"374","Marcin Gortat","Washington Wizards",13,"C",32,"06-Nov",240,"Iowa",11217391
"375","JJ Hickson","Washington Wizards",21,"C",27,"06-Sep",242,"North Carolina State",273038
"376","Nene Hilario","Washington Wizards",42,"C",33,"06-Nov",250,"Virginia Tech",1.3e+07
"377","Markieff Morris","Washington Wizards",5,"PF",26,"06-Oct",245,"Kansas",8e+06
"378","Kelly Oubre Jr.","Washington Wizards",12,"SF",20,"06-Jul",205,"Kansas",1920240
"379","Otto Porter Jr.","Washington Wizards",22,"SF",23,"06-Aug",198,"Georgetown",4662960
"380","Ramon Sessions","Washington Wizards",7,"PG",30,"06-Mar",190,"Nevada",2170465
"381","Garrett Temple","Washington Wizards",17,"SG",30,"06-Jun",195,"LSU",1100602
"382","Marcus Thornton","Washington Wizards",15,"SF",29,"06-Apr",205,"LSU",200600
"383","John Wall","Washington Wizards",2,"PG",25,"06-Apr",221.270783847981,"Kentucky",15851950
"384","Darrell Arthur","Denver Nuggets",0,"PF",28,"06-Sep",235,"Kansas",2814000
"385","D.J. Augustin","Denver Nuggets",12,"PG",28,"6-0",183,"Texas",3e+06
"386","Will Barton","Denver Nuggets",5,"SF",25,"06-Jun",175,"Memphis",4805869.95305164
"387","Wilson Chandler","Denver Nuggets",21,"SF",29,"06-Aug",225,"DePaul",10449438
"388","Kenneth Faried","Denver Nuggets",35,"PF",26,"06-Aug",228,"Morehead State",11235955
"389","Danilo Gallinari","Denver Nuggets",8,"SF",27,"06-Oct",225,"North Carolina State",1.4e+07
"390","Gary Harris","Denver Nuggets",14,"SG",24,"06-Apr",210,"Michigan State",1584480
"391","Nikola Jokic","Denver Nuggets",15,"C",21,"06-Oct",250,"Memphis",1300000
"392","Joffrey Lauvergne","Denver Nuggets",77,"C",24,"06-Nov",220,"Kentucky",1709719
"393","Mike Miller","Denver Nuggets",3,"SG",36,"06-Aug",218,"Florida",947276
"394","Emmanuel Mudiay","Denver Nuggets",0,"PG",20,"06-May",200,"St. John's",3102240
"395","Jameer Nelson","Denver Nuggets",1,"PG",34,"6-0",190,"Saint Joseph's",4345000
"396","Jusuf Nurkic","Denver Nuggets",23,"C",21,"7-0",221.270783847981,"Kentucky",1842000
"397","JaKarr Sampson","Denver Nuggets",9,"SG",23,"06-Sep",214,"St. John's",258489
"398","Axel Toupane","Denver Nuggets",6,"SG",23,"06-Jul",210,"UCLA",4805869.95305164
"399","Nemanja Bjelica","Minnesota Timberwolves",88,"PF",28,"06-Oct",240,"Kentucky",3950001
"400","Gorgui Dieng","Minnesota Timberwolves",5,"C",26,"06-Nov",241,"Louisville",4805869.95305164
"401","Kevin Garnett","Minnesota Timberwolves",21,"PF",40,"06-Nov",240,"St. John's",8500000
"402","Tyus Jones","Minnesota Timberwolves",1,"PG",20,"06-Feb",195,"Duke",1282080
"403","Zach LaVine","Minnesota Timberwolves",8,"PG",21,"06-May",189,"UCLA",2148360
"404","Shabazz Muhammad","Minnesota Timberwolves",15,"SF",23,"06-Jun",223,"UCLA",2056920
"405","Adreian Payne","Minnesota Timberwolves",33,"PF",25,"06-Oct",237,"Michigan State",1938840
"406","Nikola Pekovic","Minnesota Timberwolves",14,"C",30,"06-Nov",307,"Louisville",12100000
"407","Tayshaun Prince","Minnesota Timberwolves",12,"SF",36,"06-Sep",212,"Kentucky",947276
"408","Ricky Rubio","Minnesota Timberwolves",9,"PG",24,"06-Apr",194,"Fresno State",12700000
"409","Damjan Rudez","Minnesota Timberwolves",10,"SF",29,"06-Sep",221.270783847981,"St. John's",1149500
"410","Greg Smith","Minnesota Timberwolves",4,"PF",25,"06-Oct",250,"Fresno State",4805869.95305164
"411","Karl-Anthony Towns","Minnesota Timberwolves",32,"C",20,"7-0",244,"Kentucky",5703600
"412","Andrew Wiggins","Minnesota Timberwolves",22,"SG",21,"06-Aug",199,"Kansas",5758680
"413","Steven Adams","Oklahoma City Thunder",12,"C",22,"7-0",255,"Pittsburgh",4805869.95305164
"414","Nick Collison","Oklahoma City Thunder",4,"PF",35,"06-Oct",255,"Kansas",3750000
"415","Kevin Durant","Oklahoma City Thunder",35,"SF",27,"06-Sep",240,"Texas",20158622
"416","Randy Foye","Oklahoma City Thunder",6,"SG",32,"06-Apr",213,"Villanova",3135000
"417","Josh Huestis","Oklahoma City Thunder",34,"SF",24,"06-Jul",230,"Stanford",1140240
"418","Serge Ibaka","Oklahoma City Thunder",9,"PF",26,"06-Oct",245,"Duke",12250000
"419","Enes Kanter","Oklahoma City Thunder",11,"C",24,"06-Nov",245,"Kentucky",16407500
"420","Mitch McGary","Oklahoma City Thunder",33,"PF",24,"06-Oct",255,"Michigan",1463040
"421","Nazr Mohammed","Oklahoma City Thunder",13,"C",38,"06-Oct",250,"Kentucky",222888
"422","Anthony Morrow","Oklahoma City Thunder",2,"SG",30,"06-May",210,"Georgia Tech",4805869.95305164
"423","Cameron Payne","Oklahoma City Thunder",22,"PG",21,"06-Mar",185,"Murray State",2021520
"424","Andre Roberson","Oklahoma City Thunder",21,"SG",24,"06-Jul",210,"Colorado",1210800
"425","Kyle Singler","Oklahoma City Thunder",5,"SF",28,"06-Aug",228,"Duke",4500000
"426","Dion Waiters","Oklahoma City Thunder",3,"SG",24,"06-Apr",220,"Syracuse",5138430
"427","Russell Westbrook","Oklahoma City Thunder",0,"PG",27,"06-Mar",200,"UCLA",16744218
"428","Cliff Alexander","Portland Trail Blazers",34,"PF",20,"06-Aug",240,"Kansas",525093
"429","Al-Farouq Aminu","Portland Trail Blazers",8,"SF",25,"06-Sep",215,"Wake Forest",8042895
"430","Pat Connaughton","Portland Trail Blazers",5,"SG",23,"06-May",206,"Notre Dame",625093
"431","Allen Crabbe","Portland Trail Blazers",23,"SG",24,"06-Jun",210,"California",947276
"432","Ed Davis","Portland Trail Blazers",17,"C",27,"06-Oct",240,"North Carolina",6980802
"433","Maurice Harkless","Portland Trail Blazers",4,"SF",23,"06-Sep",215,"St. John's",2894059
"434","Gerald Henderson","Portland Trail Blazers",9,"SG",28,"06-May",215,"Duke",6e+06
"435","Chris Kaman","Portland Trail Blazers",35,"C",34,"7-0",265,"Central Michigan",5016000
"436","Meyers Leonard","Portland Trail Blazers",11,"PF",24,"07-Jan",221.270783847981,"Illinois",3075880
"437","Damian Lillard","Portland Trail Blazers",0,"PG",25,"06-Mar",195,"Weber State",4236287
"438","C.J. McCollum","Portland Trail Blazers",3,"SG",24,"06-Apr",200,"Lehigh",2525160
"439","Luis Montero","Portland Trail Blazers",44,"SG",23,"06-Jul",185,"Westchester CC",4805869.95305164
"440","Mason Plumlee","Portland Trail Blazers",24,"C",26,"06-Nov",235,"Duke",1415520
"441","Brian Roberts","Portland Trail Blazers",2,"PG",30,"06-Jan",173,"Dayton",2854940
"442","Noah Vonleh","Portland Trail Blazers",21,"PF",20,"06-Sep",240,"Indiana",2637720
"443","Trevor Booker","Utah Jazz",33,"PF",28,"06-Aug",228,"Clemson",4775000
"444","Trey Burke","Utah Jazz",3,"PG",23,"06-Jan",191,"Michigan",2658240
"445","Alec Burks","Utah Jazz",10,"SG",24,"06-Jun",214,"Colorado",9463484
"446","Dante Exum","Utah Jazz",11,"PG",20,"06-Jun",190,"Villanova",3777720
"447","Derrick Favors","Utah Jazz",15,"PF",24,"06-Oct",265,"Georgia Tech",1.2e+07
"448","Rudy Gobert","Utah Jazz",27,"C",23,"07-Jan",245,"Duke",1175880
"449","Gordon Hayward","Utah Jazz",20,"SF",26,"06-Aug",226,"Butler",15409570
"450","Rodney Hood","Utah Jazz",5,"SG",23,"06-Aug",221.270783847981,"Duke",1348440
"451","Joe Ingles","Utah Jazz",2,"SF",28,"06-Aug",226,"Kentucky",2050000
"452","Chris Johnson","Utah Jazz",23,"SF",26,"06-Jun",206,"Dayton",981348
"453","Trey Lyles","Utah Jazz",41,"PF",20,"06-Oct",234,"Kentucky",2239800
"454","Shelvin Mack","Utah Jazz",8,"PG",26,"06-Mar",203,"Butler",4805869.95305164
"455","Raul Neto","Utah Jazz",25,"PG",24,"06-Jan",179,"Villanova",9e+05
"456","Tibor Pleiss","Utah Jazz",21,"C",26,"07-Mar",256,"Butler",4805869.95305164
"457","Jeff Withey","Utah Jazz",24,"C",26,"7-0",231,"Kansas",947276
